player_id,player_name,birthday,height,weight
505942,Aaron Appindangoye,1992-02-29,183,85
155782,Aaron Cresswell,1989-12-15,170,66
162549,Aaron Doran,1991-05-13,170,74
30572,Aaron Galindo,1982-05-08,183,90
23780,Aaron Hughes,1979-11-08,183,70
27316,Aaron Hunt,1986-09-04,183,73
564793,Aaron Kuhl,1996-01-30,173,66
30895,Aaron Lennon,1987-04-16,165,63
528212,Aaron Lennox,1993-02-19,191,82
101042,Aaron Meijers,1987-10-28,175,77
23889,Aaron Mokoena,1980-11-25,183,82
231592,Aaron Mooy,1990-09-15,175,68
163222,Aaron Muirhead,1990-08-30,188,76
40719,Aaron Niguez,1989-04-26,170,65
75489,Aaron Ramsey,1990-12-26,178,70
597948,Aaron Splaine,1996-10-13,173,74
161644,Aaron Taylor-Sinclair,1991-04-08,183,80
23499,Aaron Wilbraham,1979-10-21,191,72
120919,Aatif Chahechouhe,1986-07-02,175,68
46447,Abasse Ba,1976-07-12,188,84
167027,Abdelaziz Barrada,1989-06-19,178,73
245653,Abdelfettah Boukhriss,1986-10-22,185,73
128456,Abdelhamid El Kaoutari,1990-03-17,180,73
42664,Abdelkader Ghezzal,1984-12-05,183,78
425950,Abdellah Zoubir,1991-12-05,180,73
38423,Abdelmajid Oulmers,1978-09-12,173,65
3264,Abdelmalek Cherrad,1981-01-14,185,75
467485,Abdelmalek El Hasnaoui,1994-02-09,180,72
306735,Abdelouahed Chakhsi,1986-10-01,183,77
41659,Abderrazak Jadid,1983-06-01,178,71
31684,Abdeslam Ouaddou,1978-11-01,191,82
32637,Abdessalam Benjelloun,1985-01-28,188,81
563215,Abdou Diallo,1996-05-04,183,72
41093,Abdou Traore,1988-01-17,180,79
564712,Abdoul Ba,1994-02-08,201,96
67334,Abdoul Karim Yoda,1988-10-25,183,73
173955,Abdoul Razzagui Camara,1990-02-20,178,71
39562,Abdoulay Konko,1984-03-09,183,71
191784,Abdoulaye Ba,1991-01-01,198,79
210400,Abdoulaye Bamba,1990-04-25,183,68
201915,Abdoulaye Diaby,1991-05-21,173,70
194479,"Abdoulaye Diallo Sadio,22",1990-12-28,183,76
189181,Abdoulaye Diallo,1992-03-30,188,79
352887,Abdoulaye Doucoure,1993-01-01,183,75
40005,Abdoulaye Faye,1978-02-26,188,99
409003,Abdoulaye Keita,1994-01-05,175,75
37280,Abdoulaye Meite,1980-10-06,185,82
439366,Abdoulaye Toure,1994-03-03,188,77
148827,Abdoulwahid Sissoko,1990-03-20,183,75
173011,Abdourahman Dampha,1991-12-27,183,76
419681,Abdul Aziz Tetteh,1989-02-10,183,86
196947,Abdul Majeed Waris,1991-09-19,173,71
89405,Abdul Osman,1987-02-27,183,70
324910,Abdul Rahman Baba,1994-07-02,178,70
67952,Abdul-Yakinu Iddi,1986-05-25,173,66
31012,Abdulkader Keita,1981-08-06,183,78
176301,Abdulla Fatadi,1985-11-02,175,78
307227,Abdullah Al Hafith,1992-12-25,188,75
176302,Abdullah Omar,1987-01-01,175,71
525595,Abdullahi Shehu,1993-03-12,180,72
24385,Abel Aguilar,1985-01-06,185,80
29904,Abel Gomez,1982-02-20,183,75
105548,Abel Hernandez,1990-08-08,185,73
172875,Abel Issa Camara,1990-01-06,185,81
302985,Abel Khaled,1992-11-09,180,67
240556,Abel Tamata,1990-12-05,183,77
40938,Abel,1978-12-22,178,75
37422,Abella Perez Damia,1982-04-15,188,79
114503,Abiola Dauda,1988-02-03,180,75
27277,Abou Diaby,1986-05-11,193,76
181344,Aboubacar Tandia,1983-10-05,193,84
581141,Aboubakar Kamara,1995-03-07,178,76
80592,Aboubakar Oumarou,1987-04-01,183,76
165706,Abraham Gonzalez,1985-07-16,178,80
210453,Abraham Guie Gneki,1986-07-25,180,70
208635,Abraham Kudemor,1985-02-25,183,81
213695,Abraham Minero,1986-02-22,175,71
33715,Abraham Paz Cruz,1979-03-14,178,75
41489,Achille Coser,1982-07-14,185,79
25571,Achille Emana,1982-06-05,180,77
660145,Achille Vaarnold,1996-01-26,175,71
45960,Achmed Ahahaoui,1983-12-06,178,69
293235,Achraf Lazaar,1992-09-22,183,76
34487,Aco Stojkov,1983-04-29,178,75
26331,Adailton,1983-04-14,191,85
41749,Adailton,1977-01-24,175,73
495841,Adalberto Penaranda,1997-05-31,183,78
519835,Adam Armstrong,1997-02-10,173,69
68840,Adam Banas,1982-12-25,185,79
27534,Adam Bodzek,1985-09-07,183,79
157303,Adam Bogdan,1987-09-27,193,90
563198,Adam Brown,1995-06-09,178,64
557396,Adam Buksa,1996-07-12,191,78
365666,Adam Campbell,1995-01-01,170,73
180197,Adam Collin,1984-12-09,191,78
310346,Adam Cummins,1993-03-03,188,78
68962,Adam Danch,1987-12-15,183,81
429870,Adam Deja,1993-06-24,185,82
23133,Adam Drury,1978-08-29,180,73
420209,Adam Drury,1993-09-09,178,69
308280,Adam Duda,1991-04-29,188,77
361712,Adam Dzwigala,1995-09-25,185,80
38617,Adam Federici,1985-01-31,188,90
173993,Adam Fraczczak,1987-08-07,183,76
277313,Adam Gyurcso,1991-03-06,180,60
40568,Adam Hammill,1988-01-25,178,74
281079,Adam Henley,1994-06-14,178,77
89240,Adam Hlousek,1988-12-20,188,76
24159,Adam Johnson,1987-07-14,175,63
414208,Adam King,1995-10-11,180,75
43317,Adam Kokoszka,1986-10-06,188,82
37234,Adam Lallana,1988-05-10,173,73
24952,Adam Le Fondre,1986-12-02,175,73
209372,Adam Maher,1993-07-20,175,65
69518,Adam Marciniak,1988-09-28,183,82
478447,Adam Marusic,1992-10-17,178,81
500502,Adam Masina,1994-01-02,188,78
170593,Adam Matthews,1992-01-13,178,71
185336,Adam Matuschyk,1989-02-14,180,75
69249,Adam Mojta,1986-06-30,178,70
407308,Adam Morgan,1994-04-21,178,71
12245,Adam Nemec,1985-09-02,191,90
684978,Adam Ounas,1996-11-11,173,64
306507,Adam Pazio,1992-09-27,183,72
73078,Adam Pinter,1988-06-12,191,84
31916,Adam Rooney,1988-04-21,178,78
555649,Adam Ryczkowski,1997-04-30,178,71
158861,Adam Sarota,1988-12-28,183,73
160447,Adam Smith,1991-04-29,180,81
36774,Adam Szalai,1987-12-09,193,91
243068,Adam Taggart,1993-06-02,183,69
71359,Adam Vass,1988-09-09,180,75
495942,Adam Waszkiewicz,1993-12-06,183,79
287224,Adama Ba,1993-08-27,178,68
26136,Adama Coulibaly,1980-09-10,185,83
164360,Adama Francois,1989-11-30,193,80
357881,Adama Soumaoro,1992-06-18,188,93
181211,Adama Traore,1990-02-03,170,73
533212,Adama Traore,1995-06-28,178,72
103866,Adamo Coulibaly,1981-08-14,188,78
47394,Adel Taarabt,1989-05-24,180,78
155738,Adem Ljajic,1991-09-29,183,74
361710,Aderlan Santos,1989-04-09,193,83
568920,Aderlan,1990-08-18,178,71
45816,Adil Auassar,1986-10-06,188,85
37249,Adil Chihi,1988-02-21,183,78
40012,Adil Hermach,1986-06-27,183,70
77741,Adil Rami,1985-12-27,191,88
38612,Adil Ramzi,1977-07-14,178,74
164115,Adilson,1982-01-01,193,88
276701,Adis Jahovic,1987-03-18,191,90
131409,Adlene Guedioura,1985-11-12,178,81
116788,Admir Aganovic,1986-08-25,183,80
132844,Admir Mehmedi,1991-03-16,183,80
45815,Adnan Alisic,1984-02-10,180,71
39875,Adnan Custovic,1978-04-16,185,83
449241,Adnan Januzaj,1995-02-05,183,75
43049,Adnan Mravac,1982-04-10,193,84
261599,Adnane Tighadouini,1992-11-30,178,72
154950,Adrian Basta,1988-12-01,180,78
182107,Adrian Blad,1991-04-16,165,62
121643,Adrian Chomiuk,1988-06-23,183,81
102572,Adrian Colunga,1984-11-17,173,70
43348,Adrian Cristea,1983-11-30,178,73
113604,Adrian Daniel Calello,1987-05-14,178,82
482331,Adrian Embarba,1992-05-07,173,66
40501,Adrian Gonzalez,1988-05-25,183,76
178574,Adrian Gunino,1989-02-03,168,64
78537,Adrian Klepczynski,1981-04-01,188,75
45744,Adrian Lopez,1988-01-08,183,73
23358,Adrian Mariappa,1986-10-03,178,81
