team_id,team_long_name,team_short_name,league_id
9987,KRC Genk,GEN,0
10000,SV Zulte-Waregem,ZUL,0
9984,KSV Cercle Brugge,CEB,0
9991,KAA Gent,GEN,0
7947,FCV Dender EH,DEN,0
8203,KV Mechelen,MEC,0
9999,KSV Roeselare,ROS,0
4049,Tubize,TUB,0
10001,KVC Westerlo,WES,0
8342,Club Brugge KV,CLB,0
9985,Standard de Liège,STL,0
10000,SV Zulte-Waregem,ZUL,0
9994,Sporting Lokeren,LOK,0
7947,FCV Dender EH,DEN,0
8203,KV Mechelen,MEC,0
9996,Royal Excel Mouscron,MOU,0
4049,Tubize,TUB,0
9993,Beerschot AC,BAC,0
8635,RSC Anderlecht,AND,0
9998,RAEC Mons,MON,0
9986,Sporting Charleroi,CHA,0
9984,KSV Cercle Brugge,CEB,0
9991,KAA Gent,GEN,0
9999,KSV Roeselare,ROS,0
8571,KV Kortrijk,KOR,0
10001,KVC Westerlo,WES,0
9993,Beerschot AC,BAC,0
8342,Club Brugge KV,CLB,0
9987,KRC Genk,GEN,0
10000,SV Zulte-Waregem,ZUL,0
9994,Sporting Lokeren,LOK,0
7947,FCV Dender EH,DEN,0
8203,KV Mechelen,MEC,0
9996,Royal Excel Mouscron,MOU,0
4049,Tubize,TUB,0
10001,KVC Westerlo,WES,0
8635,RSC Anderlecht,AND,0
9985,Standard de Liège,STL,0
9998,RAEC Mons,MON,0
9986,Sporting Charleroi,CHA,0
9984,KSV Cercle Brugge,CEB,0
9991,KAA Gent,GEN,0
9999,KSV Roeselare,ROS,0
8571,KV Kortrijk,KOR,0
9993,Beerschot AC,BAC,0
8342,Club Brugge KV,CLB,0
9987,KRC Genk,GEN,0
10000,SV Zulte-Waregem,ZUL,0
9991,KAA Gent,GEN,0
7947,FCV Dender EH,DEN,0
8203,KV Mechelen,MEC,0
9996,Royal Excel Mouscron,MOU,0
4049,Tubize,TUB,0
10001,KVC Westerlo,WES,0
8635,RSC Anderlecht,AND,0
9985,Standard de Liège,STL,0
9998,RAEC Mons,MON,0
9986,Sporting Charleroi,CHA,0
9984,KSV Cercle Brugge,CEB,0
9994,Sporting Lokeren,LOK,0
9999,KSV Roeselare,ROS,0
8571,KV Kortrijk,KOR,0
9993,Beerschot AC,BAC,0
8342,Club Brugge KV,CLB,0
9987,KRC Genk,GEN,0
10000,SV Zulte-Waregem,ZUL,0
9991,KAA Gent,GEN,0
7947,FCV Dender EH,DEN,0
8203,KV Mechelen,MEC,0
9999,KSV Roeselare,ROS,0
4049,Tubize,TUB,0
10001,KVC Westerlo,WES,0
8635,RSC Anderlecht,AND,0
9985,Standard de Liège,STL,0
9998,RAEC Mons,MON,0
9986,Sporting Charleroi,CHA,0
9984,KSV Cercle Brugge,CEB,0
9994,Sporting Lokeren,LOK,0
9996,Royal Excel Mouscron,MOU,0
8571,KV Kortrijk,KOR,0
9993,Beerschot AC,BAC,0
9993,Beerschot AC,BAC,0
9994,Sporting Lokeren,LOK,0
8635,RSC Anderlecht,AND,0
9998,RAEC Mons,MON,0
9985,Standard de Liège,STL,0
8342,Club Brugge KV,CLB,0
8571,KV Kortrijk,KOR,0
9996,Royal Excel Mouscron,MOU,0
9986,Sporting Charleroi,CHA,0
10000,SV Zulte-Waregem,ZUL,0
9991,KAA Gent,GEN,0
10001,KVC Westerlo,WES,0
9987,KRC Genk,GEN,0
9999,KSV Roeselare,ROS,0
4049,Tubize,TUB,0
8203,KV Mechelen,MEC,0
9984,KSV Cercle Brugge,CEB,0
7947,FCV Dender EH,DEN,0
8342,Club Brugge KV,CLB,0
8635,RSC Anderlecht,AND,0
9985,Standard de Liège,STL,0
9998,RAEC Mons,MON,0
9986,Sporting Charleroi,CHA,0
9994,Sporting Lokeren,LOK,0
9996,Royal Excel Mouscron,MOU,0
8571,KV Kortrijk,KOR,0
9993,Beerschot AC,BAC,0
8571,KV Kortrijk,KOR,0
9994,Sporting Lokeren,LOK,0
9998,RAEC Mons,MON,0
9986,Sporting Charleroi,CHA,0
9996,Royal Excel Mouscron,MOU,0
10000,SV Zulte-Waregem,ZUL,0
9985,Standard de Liège,STL,0
8342,Club Brugge KV,CLB,0
9993,Beerschot AC,BAC,0
7947,FCV Dender EH,DEN,0
8571,KV Kortrijk,KOR,0
8635,RSC Anderlecht,AND,0
9987,KRC Genk,GEN,0
9984,KSV Cercle Brugge,CEB,0
10001,KVC Westerlo,WES,0
4049,Tubize,TUB,0
9991,KAA Gent,GEN,0
9999,KSV Roeselare,ROS,0
9986,Sporting Charleroi,CHA,0
8342,Club Brugge KV,CLB,0
9993,Beerschot AC,BAC,0
8203,KV Mechelen,MEC,0
10000,SV Zulte-Waregem,ZUL,0
9994,Sporting Lokeren,LOK,0
9998,RAEC Mons,MON,0
9985,Standard de Liège,STL,0
9996,Royal Excel Mouscron,MOU,0
10001,KVC Westerlo,WES,0
8635,RSC Anderlecht,AND,0
9999,KSV Roeselare,ROS,0
4049,Tubize,TUB,0
8571,KV Kortrijk,KOR,0
9984,KSV Cercle Brugge,CEB,0
7947,FCV Dender EH,DEN,0
9987,KRC Genk,GEN,0
9991,KAA Gent,GEN,0
9996,Royal Excel Mouscron,MOU,0
8203,KV Mechelen,MEC,0
9986,Sporting Charleroi,CHA,0
9985,Standard de Liège,STL,0
9994,Sporting Lokeren,LOK,0
8342,Club Brugge KV,CLB,0
9993,Beerschot AC,BAC,0
7947,FCV Dender EH,DEN,0
10000,SV Zulte-Waregem,ZUL,0
9984,KSV Cercle Brugge,CEB,0
9998,RAEC Mons,MON,0
8635,RSC Anderlecht,AND,0
8571,KV Kortrijk,KOR,0
9987,KRC Genk,GEN,0
10001,KVC Westerlo,WES,0
9999,KSV Roeselare,ROS,0
9991,KAA Gent,GEN,0
9986,Sporting Charleroi,CHA,0
8203,KV Mechelen,MEC,0
